source,struct,name,auroc,level
CNN,accumbens_left,CNN_accumbens_left,0.604438834712095,subcortical
CNN,accumbens_right,CNN_accumbens_right,0.638839089115243,subcortical
CNN,amygdala_left,CNN_amygdala_left,0.641114246486995,subcortical
CNN,amygdala_right,CNN_amygdala_right,0.636687202932068,subcortical
CNN,brain_stem_fourth_ventricle,CNN_brain_stem_fourth_ventricle,0.618792782025275,subcortical
CNN,caudate_left,CNN_caudate_left,0.616057590870072,subcortical
CNN,caudate_right,CNN_caudate_right,0.652714690620581,subcortical
CNN,csf,CNN_csf,0.832398526819968,cortical
CNN,grey,CNN_grey,0.825784759572053,cortical
CNN,hippocampus_left,CNN_hippocampus_left,0.604197651951839,subcortical
CNN,hippocampus_right,CNN_hippocampus_right,0.610304488768477,subcortical
CNN,pallidum_left,CNN_pallidum_left,0.623105487086448,subcortical
CNN,pallidum_right,CNN_pallidum_right,0.620022814102581,subcortical
CNN,putamen_left,CNN_putamen_left,0.602025220570567,subcortical
CNN,putamen_right,CNN_putamen_right,0.604251248120785,subcortical
CNN,thalamus_left,CNN_thalamus_left,0.614466677921861,subcortical
CNN,thalamus_right,CNN_thalamus_right,0.660898825618614,subcortical
CNN,white,CNN_white,0.813075768010769,cortical
volume-based,accumbens_left,bvols_accumbens_left,0.528164786781042,subcortical
volume-based,accumbens_right,bvols_accumbens_right,0.518372320079894,subcortical
volume-based,amygdala_left,bvols_amygdala_left,0.561992008811211,subcortical
volume-based,amygdala_right,bvols_amygdala_right,0.560385910281799,subcortical
volume-based,brain_stem_fourth_ventricle,bvols_brain_stem_fourth_ventricle,0.585989693456713,subcortical
volume-based,caudate_left,bvols_caudate_left,0.563017928811781,subcortical
volume-based,caudate_right,bvols_caudate_right,0.560203683307384,subcortical
volume-based,csf,bvols_csf,0.569721023007942,cortical
volume-based,grey,bvols_grey,0.595746429378562,cortical
volume-based,hippocampus_left,bvols_hippocampus_left,0.556709213092114,subcortical
volume-based,hippocampus_right,bvols_hippocampus_right,0.562985324475674,subcortical
volume-based,pallidum_left,bvols_pallidum_left,0.570262790949037,subcortical
volume-based,pallidum_right,bvols_pallidum_right,0.569790251392829,subcortical
volume-based,putamen_left,bvols_putamen_left,0.590678464969989,subcortical
volume-based,putamen_right,bvols_putamen_right,0.599322187116731,subcortical
volume-based,thalamus_left,bvols_thalamus_left,0.57444641857,subcortical
volume-based,thalamus_right,bvols_thalamus_right,0.57914233623914,subcortical
volume-based,white,bvols_white,0.623584279529031,cortical
